CustomerID,Country,Customer_Rank,Revenue,Cumulative_Revenue_Pct,Revenue_Contribution_Pct
18102,United Kingdom,1,608821.65,3.44,3.44
14646,Netherlands,2,528602.52,6.43,2.99
14156,EIRE,3,313759.82,8.21,1.77
14911,EIRE,4,295832.39,9.88,1.67
17450,United Kingdom,5,246813.09,11.27,1.4
13694,United Kingdom,6,196482.81,12.38,1.11
17511,United Kingdom,7,175603.55,13.38,0.99
16446,United Kingdom,8,168472.5,14.33,0.95
16684,United Kingdom,9,147142.77,15.16,0.83
12415,Australia,10,144458.37,15.98,0.82
15061,United Kingdom,11,137818.52,16.76,0.78
16029,United Kingdom,12,122035.14,17.45,0.69
17949,United Kingdom,13,118628.08,18.12,0.67
13089,United Kingdom,14,116647.53,18.78,0.66
15311,United Kingdom,15,116575.49,19.44,0.66
12931,United Kingdom,16,92347.34,19.96,0.52
14298,United Kingdom,17,91194.49,20.48,0.52
15769,United Kingdom,18,88704.32,20.98,0.5
12346,United Kingdom,19,77556.46,21.42,0.44
13798,United Kingdom,20,75836.87,21.84,0.43
15838,United Kingdom,21,74163.0,22.26,0.42
17841,United Kingdom,22,70081.86,22.66,0.4
16754,United Kingdom,23,67502.47,23.04,0.38
14096,United Kingdom,24,65164.79,23.41,0.37
14088,United Kingdom,25,64036.8,23.77,0.36
16422,United Kingdom,26,63589.07,24.13,0.36
13081,United Kingdom,27,59205.15,24.47,0.33
14680,United Kingdom,28,57369.38,24.79,0.32
17389,United Kingdom,29,57215.33,25.11,0.32
16013,United Kingdom,30,57140.44,25.44,0.32
17850,United Kingdom,31,56600.08,25.76,0.32
13777,United Kingdom,32,56478.42,26.08,0.32
12748,United Kingdom,33,55511.09,26.39,0.31
13093,United Kingdom,34,54943.65,26.7,0.31
13408,United Kingdom,35,51733.46,26.99,0.29
17404,Sweden,36,47781.12,27.26,0.27
13881,United Kingdom,37,45179.1,27.52,0.26
15749,United Kingdom,38,44534.3,27.77,0.25
16705,United Kingdom,39,43515.05,28.02,0.25
14031,United Kingdom,40,40919.58,28.25,0.23
17381,United Kingdom,41,40002.37,28.48,0.23
12471,Germany,42,39918.19,28.7,0.23
15098,United Kingdom,43,39916.5,28.93,0.23
15039,United Kingdom,44,39726.89,29.15,0.22
16210,United Kingdom,45,38489.51,29.37,0.22
17675,United Kingdom,46,38259.6,29.59,0.22
17677,United Kingdom,47,36675.06,29.79,0.21
12921,United Kingdom,48,35921.04,30.0,0.2
13767,United Kingdom,49,35540.53,30.2,0.2
12678,France,50,34281.18,30.39,0.19
13902,Denmark,51,34095.26,30.58,0.19
15856,United Kingdom,52,33847.27,30.77,0.19
16779,United Kingdom,53,33165.94,30.96,0.19
14258,United Kingdom,54,32051.34,31.14,0.18
17428,United Kingdom,55,31819.76,31.32,0.18
12681,France,56,30868.28,31.5,0.17
12709,Germany,57,30814.46,31.67,0.17
14606,United Kingdom,58,30558.25,31.85,0.17
17940,United Kingdom,59,30306.79,32.02,0.17
13078,United Kingdom,60,29532.45,32.18,0.17
13098,United Kingdom,61,28882.44,32.35,0.16
17857,United Kingdom,62,28682.24,32.51,0.16
14527,United Kingdom,63,27764.21,32.67,0.16
15513,United Kingdom,64,27750.55,32.82,0.16
16333,United Kingdom,65,26626.8,32.97,0.15
17865,United Kingdom,66,26312.19,33.12,0.15
18251,United Kingdom,67,26278.86,33.27,0.15
13802,United Kingdom,68,26259.11,33.42,0.15
15498,United Kingdom,69,25949.58,33.57,0.15
12731,France,70,25775.71,33.71,0.15
14062,United Kingdom,71,25585.65,33.86,0.14
12744,Singapore,72,25317.06,34.0,0.14
12939,United Kingdom,73,25264.8,34.14,0.14
14895,United Kingdom,74,25119.54,34.28,0.14
12621,Germany,75,24775.81,34.42,0.14
16525,United Kingdom,76,24562.74,34.56,0.14
17920,United Kingdom,77,24256.74,34.7,0.14
13001,United Kingdom,78,24042.65,34.84,0.14
12682,France,79,24025.51,34.97,0.14
15640,United Kingdom,80,23828.03,35.11,0.13
14607,United Kingdom,81,23763.13,35.24,0.13
12482,Sweden,82,23691.4,35.38,0.13
12409,Switzerland,83,23419.29,35.51,0.13
16133,United Kingdom,84,22992.26,35.64,0.13
14063,United Kingdom,85,22710.2,35.77,0.13
14051,United Kingdom,86,22394.4,35.89,0.13
16839,United Kingdom,87,22310.49,36.02,0.13
17340,United Kingdom,88,22289.22,36.15,0.13
12540,Spain,89,22254.49,36.27,0.13
15159,United Kingdom,90,22116.73,36.4,0.13
13340,United Kingdom,91,22100.56,36.52,0.12
13319,United Kingdom,92,22082.5,36.65,0.12
14667,United Kingdom,93,21593.05,36.77,0.12
12753,Japan,94,21429.39,36.89,0.12
15615,United Kingdom,95,21373.97,37.01,0.12
14866,United Kingdom,96,20850.22,37.13,0.12
17706,United Kingdom,97,20749.98,37.25,0.12
12433,Norway,98,20581.26,37.36,0.12
17243,United Kingdom,99,20460.48,37.48,0.12
15251,United Kingdom,100,20324.54,37.59,0.11
12477,Germany,101,20276.37,37.71,0.11
18008,United Kingdom,102,19759.08,37.82,0.11
16843,United Kingdom,103,19571.43,37.93,0.11
17139,United Kingdom,104,19566.76,38.04,0.11
17581,United Kingdom,105,18737.95,38.15,0.11
12557,Spain,106,18716.14,38.25,0.11
14194,United Kingdom,107,18670.59,38.36,0.11
13113,United Kingdom,108,18603.04,38.46,0.11
12357,Switzerland,109,18287.66,38.57,0.1
17377,United Kingdom,110,18232.57,38.67,0.1
15808,United Kingdom,111,18133.3,38.77,0.1
16746,United Kingdom,112,18046.75,38.87,0.1
12647,Germany,113,17924.35,38.97,0.1
12472,Germany,114,17880.59,39.08,0.1
15078,United Kingdom,115,17761.88,39.18,0.1
12901,United Kingdom,116,17654.54,39.28,0.1
14952,United Kingdom,117,17629.35,39.38,0.1
16652,United Kingdom,118,17550.39,39.48,0.1
15189,United Kingdom,119,17524.38,39.57,0.1
18172,United Kingdom,120,17467.24,39.67,0.1
16019,United Kingdom,121,17329.16,39.77,0.1
17416,United Kingdom,122,17298.45,39.87,0.1
15523,United Kingdom,123,17259.19,39.97,0.1
17735,United Kingdom,124,17244.93,40.06,0.1
13027,United Kingdom,125,17239.2,40.16,0.1
14277,France,126,17197.61,40.26,0.1
15358,United Kingdom,127,17050.41,40.35,0.1
13564,United Kingdom,128,17035.02,40.45,0.1
15125,United Kingdom,129,17024.87,40.55,0.1
16656,United Kingdom,130,16833.17,40.64,0.1
12454,Spain,131,16679.78,40.74,0.09
16553,United Kingdom,132,16584.01,40.83,0.09
13199,United Kingdom,133,16432.89,40.92,0.09
14961,United Kingdom,134,16410.15,41.02,0.09
13225,United Kingdom,135,16260.07,41.11,0.09
16180,United Kingdom,136,16249.87,41.2,0.09
12980,United Kingdom,137,16245.78,41.29,0.09
18092,United Kingdom,138,16179.44,41.38,0.09
14733,United Kingdom,139,16165.17,41.48,0.09
17107,United Kingdom,140,16052.72,41.57,0.09
15044,United Kingdom,141,16024.15,41.66,0.09
12971,United Kingdom,142,15972.79,41.75,0.09
17716,United Kingdom,143,15956.97,41.84,0.09
14849,United Kingdom,144,15763.45,41.93,0.09
16191,United Kingdom,145,15677.82,42.01,0.09
13488,United Kingdom,146,15587.88,42.1,0.09
12949,United Kingdom,147,15526.7,42.19,0.09
14769,United Kingdom,148,15514.11,42.28,0.09
15768,United Kingdom,149,15308.89,42.36,0.09
15601,United Kingdom,150,14960.12,42.45,0.08
18087,United Kingdom,151,14761.52,42.53,0.08
16126,United Kingdom,152,14644.6,42.62,0.08
17133,United Kingdom,153,14622.33,42.7,0.08
16873,United Kingdom,154,14617.39,42.78,0.08
14543,United Kingdom,155,14587.87,42.86,0.08
16713,United Kingdom,156,14529.99,42.95,0.08
17448,United Kingdom,157,14523.67,43.03,0.08
14299,United Kingdom,158,14499.49,43.11,0.08
12583,France,159,14447.44,43.19,0.08
15482,United Kingdom,160,14417.36,43.27,0.08
15093,United Kingdom,161,14326.11,43.35,0.08
17017,United Kingdom,162,14110.61,43.43,0.08
13090,United Kingdom,163,14100.14,43.51,0.08
12714,France,164,14093.71,43.59,0.08
12476,Germany,165,14083.91,43.67,0.08
13178,United Kingdom,166,14059.19,43.75,0.08
18223,United Kingdom,167,14000.85,43.83,0.08
15005,United Kingdom,168,13977.08,43.91,0.08
15502,United Kingdom,169,13933.27,43.99,0.08
12435,Denmark,170,13925.93,44.07,0.08
15760,Norway,171,13916.34,44.15,0.08
16558,United Kingdom,172,13873.51,44.23,0.08
15291,United Kingdom,173,13846.56,44.3,0.08
17589,United Kingdom,174,13837.94,44.38,0.08
15032,United Kingdom,175,13780.65,44.46,0.08
15382,United Kingdom,176,13733.55,44.54,0.08
12567,France,177,13709.86,44.61,0.08
12989,United Kingdom,178,13551.75,44.69,0.08
13468,United Kingdom,179,13375.51,44.77,0.08
15738,United Kingdom,180,13372.97,44.84,0.08
13629,United Kingdom,181,13370.86,44.92,0.08
13097,United Kingdom,182,13324.1,44.99,0.08
13969,United Kingdom,183,13291.05,45.07,0.08
16923,United Kingdom,184,13157.13,45.14,0.07
18225,United Kingdom,185,13044.8,45.22,0.07
14049,United Kingdom,186,13023.4,45.29,0.07
14110,United Kingdom,187,12987.95,45.36,0.07
13668,United Kingdom,188,12948.48,45.44,0.07
13316,United Kingdom,189,12940.82,45.51,0.07
13952,United Kingdom,190,12823.52,45.58,0.07
16549,United Kingdom,191,12781.8,45.66,0.07
17858,United Kingdom,192,12754.9,45.73,0.07
16161,United Kingdom,193,12744.26,45.8,0.07
12683,France,194,12696.78,45.87,0.07
12437,France,195,12683.4,45.94,0.07
12451,Switzerland,196,12669.88,46.01,0.07
15465,United Kingdom,197,12636.15,46.09,0.07
13013,United Kingdom,198,12625.77,46.16,0.07
12536,France,199,12601.83,46.23,0.07
14040,United Kingdom,200,12523.81,46.3,0.07
15194,United Kingdom,201,12427.69,46.37,0.07
14936,Channel Islands,202,12410.81,46.44,0.07
16000,United Kingdom,203,12393.7,46.51,0.07
12474,Germany,204,12372.75,46.58,0.07
12481,Germany,205,12344.89,46.65,0.07
13050,United Kingdom,206,12314.53,46.72,0.07
14739,United Kingdom,207,12287.5,46.79,0.07
13854,United Kingdom,208,12253.96,46.86,0.07
14735,United Kingdom,209,12240.16,46.93,0.07
16814,United Kingdom,210,12198.14,47.0,0.07
13418,United Kingdom,211,12182.9,47.07,0.07
15144,United Kingdom,212,12160.31,47.13,0.07
15555,United Kingdom,213,12062.69,47.2,0.07
15023,United Kingdom,214,12008.05,47.27,0.07
14415,United Kingdom,215,11980.09,47.34,0.07
17364,United Kingdom,216,11972.92,47.41,0.07
17044,United Kingdom,217,11962.3,47.47,0.07
13458,United Kingdom,218,11959.27,47.54,0.07
16258,United Kingdom,219,11942.52,47.61,0.07
16523,United Kingdom,220,11916.33,47.68,0.07
17338,United Kingdom,221,11889.33,47.74,0.07
13687,United Kingdom,222,11880.84,47.81,0.07
14505,United Kingdom,223,11879.08,47.88,0.07
18226,United Kingdom,224,11878.88,47.94,0.07
12705,Germany,225,11762.1,48.01,0.07
14426,United Kingdom,226,11727.94,48.08,0.07
13102,United Kingdom,227,11696.92,48.14,0.07
13004,United Kingdom,228,11650.85,48.21,0.07
13576,United Kingdom,229,11551.74,48.27,0.07
15218,United Kingdom,230,11468.83,48.34,0.06
13680,United Kingdom,231,11419.67,48.4,0.06
14016,EIRE,232,11403.41,48.47,0.06
12668,Germany,233,11383.03,48.53,0.06
17809,United Kingdom,234,11337.39,48.6,0.06
14045,United Kingdom,235,11313.03,48.66,0.06
15874,United Kingdom,236,11284.76,48.72,0.06
12539,Spain,237,11214.75,48.79,0.06
18055,United Kingdom,238,11143.12,48.85,0.06
12524,Germany,239,11126.11,48.91,0.06
14134,United Kingdom,240,11123.35,48.98,0.06
13941,United Kingdom,241,11122.3,49.04,0.06
12918,United Kingdom,242,10953.5,49.1,0.06
16985,United Kingdom,243,10923.16,49.16,0.06
18052,United Kingdom,244,10877.18,49.23,0.06
14796,United Kingdom,245,10840.54,49.29,0.06
15694,United Kingdom,246,10810.81,49.35,0.06
18229,United Kingdom,247,10803.71,49.41,0.06
12431,Belgium,248,10790.47,49.47,0.06
16033,United Kingdom,249,10764.45,49.53,0.06
16327,United Kingdom,250,10695.24,49.59,0.06
16168,United Kingdom,251,10636.47,49.65,0.06
13324,United Kingdom,252,10513.47,49.71,0.06
15290,United Kingdom,253,10496.28,49.77,0.06
14028,United Kingdom,254,10396.5,49.83,0.06
16984,United Kingdom,255,10350.53,49.89,0.06
15296,United Kingdom,256,10323.03,49.95,0.06
14422,United Kingdom,257,10271.52,50.0,0.06
17160,United Kingdom,258,10209.16,50.06,0.06
15719,United Kingdom,259,10195.97,50.12,0.06
13599,United Kingdom,260,10163.88,50.18,0.06
15805,United Kingdom,261,10148.93,50.23,0.06
12839,United Kingdom,262,10071.73,50.29,0.06
12766,Portugal,263,10068.28,50.35,0.06
15547,United Kingdom,264,10057.05,50.4,0.06
14085,United Kingdom,265,10028.72,50.46,0.06
13985,United Kingdom,266,10020.86,50.52,0.06
16782,United Kingdom,267,10000.32,50.57,0.06
16353,United Kingdom,268,9999.46,50.63,0.06
14755,United Kingdom,269,9972.55,50.69,0.06
16182,United Kingdom,270,9971.65,50.74,0.06
14101,United Kingdom,271,9961.93,50.8,0.06
16131,United Kingdom,272,9957.42,50.86,0.06
18260,United Kingdom,273,9947.26,50.91,0.06
17049,United Kingdom,274,9942.53,50.97,0.06
16701,United Kingdom,275,9916.73,51.03,0.06
12758,Portugal,276,9903.24,51.08,0.06
14329,United Kingdom,277,9887.62,51.14,0.06
13327,United Kingdom,278,9879.48,51.19,0.06
12590,Germany,279,9864.26,51.25,0.06
14828,United Kingdom,280,9839.46,51.3,0.06
18109,United Kingdom,281,9833.16,51.36,0.06
12490,France,282,9823.64,51.42,0.06
14944,United Kingdom,283,9784.67,51.47,0.06
17306,United Kingdom,284,9782.35,51.53,0.06
13018,United Kingdom,285,9763.16,51.58,0.06
13735,United Kingdom,286,9762.77,51.64,0.06
13267,United Kingdom,287,9758.26,51.69,0.06
12380,Belgium,288,9676.3,51.75,0.05
14135,United Kingdom,289,9643.92,51.8,0.05
13069,United Kingdom,290,9616.95,51.86,0.05
17315,United Kingdom,291,9599.58,51.91,0.05
14091,United Kingdom,292,9530.08,51.96,0.05
17811,United Kingdom,293,9519.8,52.02,0.05
14060,United Kingdom,294,9519.08,52.07,0.05
13999,United Kingdom,295,9502.26,52.12,0.05
17504,United Kingdom,296,9490.17,52.18,0.05
15298,United Kingdom,297,9459.37,52.23,0.05
14146,United Kingdom,298,9450.3,52.29,0.05
14439,Greece,299,9443.04,52.34,0.05
13758,United Kingdom,300,9416.98,52.39,0.05
17230,United Kingdom,301,9388.49,52.45,0.05
15727,United Kingdom,302,9371.71,52.5,0.05
16550,United Kingdom,303,9368.24,52.55,0.05
17757,United Kingdom,304,9366.5,52.6,0.05
13174,United Kingdom,305,9364.42,52.66,0.05
15981,United Kingdom,306,9362.77,52.71,0.05
13162,United Kingdom,307,9275.49,52.76,0.05
15249,United Kingdom,308,9266.0,52.81,0.05
12747,United Kingdom,309,9257.04,52.87,0.05
15570,United Kingdom,310,9254.14,52.92,0.05
14367,United Kingdom,311,9227.82,52.97,0.05
14292,United Kingdom,312,9226.25,53.02,0.05
13448,United Kingdom,313,9189.89,53.08,0.05
13756,United Kingdom,314,9188.75,53.13,0.05
15260,United Kingdom,315,9188.23,53.18,0.05
16700,United Kingdom,316,9167.71,53.23,0.05
17068,United Kingdom,317,9153.83,53.28,0.05
15939,United Kingdom,318,9060.39,53.33,0.05
16709,United Kingdom,319,9056.01,53.39,0.05
15867,United Kingdom,320,9034.95,53.44,0.05
12755,Japan,321,9030.66,53.49,0.05
16186,United Kingdom,322,9026.11,53.54,0.05
16722,United Kingdom,323,8989.08,53.59,0.05
15150,United Kingdom,324,8977.94,53.64,0.05
15903,United Kingdom,325,8939.84,53.69,0.05
13555,United Kingdom,326,8891.84,53.74,0.05
13269,United Kingdom,327,8888.75,53.79,0.05
14709,United Kingdom,328,8886.33,53.84,0.05
12359,Cyprus,329,8873.39,53.89,0.05
17576,United Kingdom,330,8831.6,53.94,0.05
17396,United Kingdom,331,8807.1,53.99,0.05
13047,United Kingdom,332,8795.16,54.04,0.05
16532,United Kingdom,333,8756.64,54.09,0.05
12957,United Kingdom,334,8706.97,54.14,0.05
13263,United Kingdom,335,8676.2,54.19,0.05
15955,United Kingdom,336,8658.36,54.24,0.05
15497,United Kingdom,337,8657.39,54.29,0.05
18041,United Kingdom,338,8633.66,54.34,0.05
16945,United Kingdom,339,8548.16,54.38,0.05
15281,United Kingdom,340,8543.57,54.43,0.05
15270,United Kingdom,341,8524.86,54.48,0.05
15984,United Kingdom,342,8515.72,54.53,0.05
12798,Japan,343,8510.93,54.58,0.05
13209,United Kingdom,344,8509.51,54.63,0.05
15786,United Kingdom,345,8501.62,54.67,0.05
13148,United Kingdom,346,8497.82,54.72,0.05
14286,United Kingdom,347,8479.76,54.77,0.05
18139,United Kingdom,348,8438.34,54.82,0.05
13715,United Kingdom,349,8425.69,54.86,0.05
14160,United Kingdom,350,8421.47,54.91,0.05
14676,United Kingdom,351,8356.79,54.96,0.05
14057,United Kingdom,352,8346.66,55.01,0.05
17611,United Kingdom,353,8337.53,55.05,0.05
13206,United Kingdom,354,8308.19,55.1,0.05
12643,France,355,8304.82,55.15,0.05
17686,United Kingdom,356,8296.81,55.19,0.05
12637,France,357,8283.81,55.24,0.05
15998,United Kingdom,358,8274.14,55.29,0.05
12720,Germany,359,8260.67,55.34,0.05
15034,United Kingdom,360,8231.2,55.38,0.05
13381,United Kingdom,361,8224.37,55.43,0.05
13139,United Kingdom,362,8202.98,55.47,0.05
14030,United Kingdom,363,8198.3,55.52,0.05
17365,United Kingdom,364,8184.49,55.57,0.05
13426,United Kingdom,365,8167.38,55.61,0.05
